id,pro_address,name
1564,"(1783) 308 Lutwyche Road, Windsor - URGENT",Rhcommercial
1565,"1 &amp; 2/36 Wilbur Street, Logan Central",Rhcommercialsouthside
1566,1 Cobaalt Street Carole Park,CushWakeQLD
1567,"1 King Street, Bowen Hills",CushWakeQLD
1568,"1 Lear Jet Dr, Caboolture",Commercialguys
1569,1 Possum Drive Narangba *,NVRE
1570,"1 Russell Street, Kallangur",Rhcommercial
1571,"1 Windsor Road, Red Hill",Rhcommercial
1572,"1-140 Wecker Road, Mansfield",CushWakeQLD
1573,"1-9 Mudgee Street, Kingston",CushWakeQLD
1574,"1, 16 Metroplex Ave, Murarrie",Duganandco
1575,"1/10 Caroline Street, Annerley",Urbanproperty
1576,"1/1029 Manly Road, Tingalpa",CushWakeQLD
1577,"1/103 Brownlee Street, Pinkenba",CushWakeQLD
1578,1/11 Lensworth Street Coopers Plains,Rhcommercialsouthside
1579,1/115 Robinson Rd Geebung *,Duganandco
1580,1/1326 Boundary Rd Wacol *,Rhcommercialsouthside
1581,"1/1326 Boundary Road, Wacol",Rhcommercialsouthside
1582,1/14 Annie St Caboolture *,Commercialguys
1583,"1/14-22 Henry Street, Loganholme",CushWakeQLD
1584,"1/15 Grange Road, Grange",Rhcommercial
1585,1/152 Jubilee Terrace Bardon *,Urbanproperty
1586,"1/17 Rise Street, Mount Gravatt East",Timaltass
1587,1/18 Devlan Street Mansfield QLD 4122,Duganandco
1588,"1/209 Robinson Road, Geebung",Rhcommercial
1589,"1/21-23 Flinders Parade, North Lakes",Rhcommercial
1590,"1/23 Pickering St, Enoggera",Commercialguys
1591,"1/23 Pickering Street, Enoggera",Rhcommercial
1592,"1/236 Anzac Ave, Redcliffe",Admin
1593,"1/24 Macquarie Street, Teneriffe",Bluecommercial
1594,1/25 Randall Street Slacks Creek,Rhcommercialsouthside
1595,"1/28 High St, Kippa-Ring",Commercialguys
1596,"1/28 Pritchard Rd, Virginia",Duganandco
1597,"1/28 Pritchard Road, Virginia 4014",Duganandco
1598,1/29 Crown St Holland Park West *,Timaltass
1599,"1/31 Salisbury Street, Indooroopilly",Urbanproperty
1600,1/3333 Pacific Highway Slacks Creek *,Rhcommercialsouthside
1601,1/349-351 MacDonnell Rd Clontarf *,Commercialguys
1602,1/36 Devlan Street Mansfield qld 4122,Duganandco
1603,1/38 Devlan St Mansfield,CushWakeQLD
1604,"1/397 Gympie Rd, Strathpine",Commercialguys
1605,"1/400 Newman Road, Geebung",Rhcommercial
1606,1/45 Boyland Avenue Coopers Plains,Rhcommercialsouthside
1607,1/49 Colebard St East Acacia Ridge,Rhcommercialsouthside
1608,"1/5 Cronulla Court, Slacks Creek",CushWakeQLD
1609,1/5 Neviiles Street Underwood (ABC),Rhcommercialsouthside
1610,"1/5 Nevilles Street, Underwood",CushWakeQLD
1611,"1/51 Flinders Parade, North Lakes",Rhcommercial
1612,"1/51 Flinders Parade, North Lakes (#302 &amp; #933)",Rhcommercial
1613,"1/57 Nealdon Drive, Meadowbrook",Bluecommercial
1614,"1/58 Frederick Street, Northgate",Duganandco
1615,"1/60 Hipwood Street, Norman Park",Timaltass
1616,"1/601 Nudgee Road, Hendra",Rhcommercial
1617,"1/601 Nudgee Road, Hendra (#117)",Rhcommercial
1618,1/61 Holdsworth St Coorparoo,CushWakeQLD
1619,"1/61 Holdworth Street, Coorparoo",CushWakeQLD
1620,"1/61 Holdworth Street, Coorparoo (68727)",CushWakeQLD
1621,"1/64 Zillmere Road, Boondall",Duganandco
1622,"1/81 Wynnum road, Morningside",Timaltass
1623,"1/81 Wynnum Road, Norman Park",Timaltass
1624,"1/89 Riverside Place, Morningside",CushWakeQLD
1625,"1/96 Agnew Street, Norman Park",Timaltass
1626,"1/96 Agnews St, Norman Park",Timaltass
1627,1&amp;2/14 Ashtan Place Banyo *,Duganandco
1628,"1&amp;2/14 Ashtan Place, Banyo",Duganandco
1629,1&amp;2/64 Zillmere Rd Boondall *,Rhcommercial
1630,"10 Andrew Campbell Drive, Narangba",CushWakeQLD
1631,10 Ballesteros North Lakes *,NVRE
1632,"10 Ballesteros Street, North Lakes",NVRE
1633,"10 Boondara St, Manly West",Timaltass
1634,"10 Boondara Street, Manly West",Timaltass
1635,10 Brandl St Eight Mile Plains *,SavillsQLD
1636,"10 Nurstead Street, Camp Hill",Duganandco
1637,"10 Prosperity Place, Geebung",Rhcommercial
1638,"10 Rifle Range Road, Narangba",NVRE
1639,"10 Wyuna Court, Hemmant",CushWakeQLD
1640,10 Wyuna Crt Hemmant *,CushWakeQLD
1641,10/300 Cullen Avenue Eagle Farm,CushWakeQLD
1642,"10/388 Newman Road, geebung",Rhcommercial
1643,"100 Days Road, Grange",Rhcommercial
1644,"101 Beenleigh Road, Acacia Ridge",CushWakeQLD
